parameter,S_i,S_Ti,interaction_gap,sobol_n,scenario,output
community_incidence_baseline,0.0011559128761291504,0.00010610588651616126,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.0009945034980773926,0.00005353785309125669,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
k_social,0.7138940393924713,0.7624779939651489,0.04858395457267761,2048,access_intervention__perturbation,vax_willingness_T12_mean
community_incidence_baseline,0.10089254379272461,0.15009284019470215,0.04920029640197754,2048,access_intervention__perturbation,vax_willingness_T12_mean
importation_outbreak_floor,0.09025007486343384,0.09869424253702164,0.008444167673587799,2048,access_intervention__perturbation,vax_willingness_T12_mean
incidence_gamma,0.011307299137115479,0.016630306839942932,0.005323007702827454,2048,access_intervention__perturbation,vax_willingness_T12_mean
state_update_noise_std,0.0037401318550109863,0.015275327488780022,0.011535195633769035,2048,access_intervention__perturbation,vax_willingness_T12_mean
bridge_prob,0.005203962326049805,0.009808999486267567,0.004605037160217762,2048,access_intervention__perturbation,vax_willingness_T12_mean
incidence_alpha_vax,0.002332925796508789,0.0058326274156570435,0.0034997016191482544,2048,access_intervention__perturbation,vax_willingness_T12_mean
importation_targeted_local_bump,0.0,0.002165663056075573,0.002165663056075573,2048,access_intervention__perturbation,vax_willingness_T12_mean
k_social,1.0,0.9997078776359558,0.0,2048,access_intervention__perturbation,social_norms_descriptive_vax_mean
state_update_noise_std,0.00029212236404418945,0.0,0.0,2048,access_intervention__perturbation,social_norms_descriptive_vax_mean
bridge_prob,0.00029212236404418945,0.0,0.0,2048,access_intervention__perturbation,social_norms_descriptive_vax_mean
community_incidence_baseline,0.00029212236404418945,0.0,0.0,2048,access_intervention__perturbation,social_norms_descriptive_vax_mean
incidence_gamma,0.00029212236404418945,0.0,0.0,2048,access_intervention__perturbation,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.00029212236404418945,0.0,0.0,2048,access_intervention__perturbation,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.00029212236404418945,0.0,0.0,2048,access_intervention__perturbation,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.00029212236404418945,0.0,0.0,2048,access_intervention__perturbation,social_norms_descriptive_vax_mean
k_social,0.7138940393924713,0.7624779939651489,0.04858395457267761,2048,access_intervention__shock,vax_willingness_T12_mean
community_incidence_baseline,0.10089254379272461,0.15009284019470215,0.04920029640197754,2048,access_intervention__shock,vax_willingness_T12_mean
importation_outbreak_floor,0.09025007486343384,0.09869424253702164,0.008444167673587799,2048,access_intervention__shock,vax_willingness_T12_mean
incidence_gamma,0.011307299137115479,0.016630306839942932,0.005323007702827454,2048,access_intervention__shock,vax_willingness_T12_mean
state_update_noise_std,0.0037401318550109863,0.015275327488780022,0.011535195633769035,2048,access_intervention__shock,vax_willingness_T12_mean
bridge_prob,0.005203962326049805,0.009808999486267567,0.004605037160217762,2048,access_intervention__shock,vax_willingness_T12_mean
incidence_alpha_vax,0.002332925796508789,0.0058326274156570435,0.0034997016191482544,2048,access_intervention__shock,vax_willingness_T12_mean
importation_targeted_local_bump,0.0,0.002165663056075573,0.002165663056075573,2048,access_intervention__shock,vax_willingness_T12_mean
k_social,1.0,0.9997078776359558,0.0,2048,access_intervention__shock,social_norms_descriptive_vax_mean
state_update_noise_std,0.00029212236404418945,0.0,0.0,2048,access_intervention__shock,social_norms_descriptive_vax_mean
bridge_prob,0.00029212236404418945,0.0,0.0,2048,access_intervention__shock,social_norms_descriptive_vax_mean
community_incidence_baseline,0.00029212236404418945,0.0,0.0,2048,access_intervention__shock,social_norms_descriptive_vax_mean
incidence_gamma,0.00029212236404418945,0.0,0.0,2048,access_intervention__shock,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.00029212236404418945,0.0,0.0,2048,access_intervention__shock,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.00029212236404418945,0.0,0.0,2048,access_intervention__shock,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.00029212236404418945,0.0,0.0,2048,access_intervention__shock,social_norms_descriptive_vax_mean
k_social,0.7459047734737396,0.7934451103210449,0.0475403368473053,2048,trust_repair_legitimacy__perturbation,vax_willingness_T12_mean
community_incidence_baseline,0.09795606136322021,0.13585984706878662,0.037903785705566406,2048,trust_repair_legitimacy__perturbation,vax_willingness_T12_mean
importation_outbreak_floor,0.09080010652542114,0.11090324074029922,0.020103134214878082,2048,trust_repair_legitimacy__perturbation,vax_willingness_T12_mean
incidence_gamma,0.0,0.00679211737588048,0.00679211737588048,2048,trust_repair_legitimacy__perturbation,vax_willingness_T12_mean
state_update_noise_std,0.0,0.004712162539362907,0.004712162539362907,2048,trust_repair_legitimacy__perturbation,vax_willingness_T12_mean
incidence_alpha_vax,0.0,0.003929544240236282,0.003929544240236282,2048,trust_repair_legitimacy__perturbation,vax_willingness_T12_mean
importation_targeted_local_bump,0.0,0.0015055915573611856,0.0015055915573611856,2048,trust_repair_legitimacy__perturbation,vax_willingness_T12_mean
bridge_prob,0.0,0.0009123448398895562,0.0009123448398895562,2048,trust_repair_legitimacy__perturbation,vax_willingness_T12_mean
importation_outbreak_floor,0.691916823387146,0.7298498153686523,0.03793299198150635,2048,trust_repair_legitimacy__perturbation,mask_when_pressure_high_mean
k_social,0.2595400810241699,0.2902326285839081,0.03069254755973816,2048,trust_repair_legitimacy__perturbation,mask_when_pressure_high_mean
incidence_alpha_vax,0.002601027488708496,0.013815261423587799,0.011214233934879303,2048,trust_repair_legitimacy__perturbation,mask_when_pressure_high_mean
importation_targeted_local_bump,0.0,0.0016555298352614045,0.0016555298352614045,2048,trust_repair_legitimacy__perturbation,mask_when_pressure_high_mean
state_update_noise_std,0.0,0.0011209839722141623,0.0011209839722141623,2048,trust_repair_legitimacy__perturbation,mask_when_pressure_high_mean
incidence_gamma,0.0,0.00020016820053569973,0.00020016820053569973,2048,trust_repair_legitimacy__perturbation,mask_when_pressure_high_mean
bridge_prob,0.0,0.0,0.0,2048,trust_repair_legitimacy__perturbation,mask_when_pressure_high_mean
community_incidence_baseline,0.0,0.0,0.0,2048,trust_repair_legitimacy__perturbation,mask_when_pressure_high_mean
k_social,0.996764900162816,0.9973181486129761,0.0005532484501600266,2048,trust_repair_legitimacy__perturbation,social_norms_descriptive_vax_mean
incidence_gamma,0.0006589889526367188,0.001198797719553113,0.0005398087669163942,2048,trust_repair_legitimacy__perturbation,social_norms_descriptive_vax_mean
state_update_noise_std,0.0005469322204589844,0.0011427293065935373,0.000595797086134553,2048,trust_repair_legitimacy__perturbation,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.0,0.0008398776408284903,0.0008398776408284903,2048,trust_repair_legitimacy__perturbation,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.0007426142692565918,0.0007683667354285717,0.000025752466171979904,2048,trust_repair_legitimacy__perturbation,social_norms_descriptive_vax_mean
bridge_prob,0.0,0.00009474915714235976,0.00009474915714235976,2048,trust_repair_legitimacy__perturbation,social_norms_descriptive_vax_mean
community_incidence_baseline,0.0,0.000023383505322271958,0.000023383505322271958,2048,trust_repair_legitimacy__perturbation,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.0,0.0,0.0,2048,trust_repair_legitimacy__perturbation,social_norms_descriptive_vax_mean
k_social,0.889352835714817,0.9259113073348999,0.036558471620082855,2048,trust_repair_legitimacy__shock,vax_willingness_T12_mean
importation_outbreak_floor,0.043780386447906494,0.05869074910879135,0.014910362660884857,2048,trust_repair_legitimacy__shock,vax_willingness_T12_mean
community_incidence_baseline,0.021090447902679443,0.04297740012407303,0.021886952221393585,2048,trust_repair_legitimacy__shock,vax_willingness_T12_mean
incidence_gamma,0.0,0.003554500639438629,0.003554500639438629,2048,trust_repair_legitimacy__shock,vax_willingness_T12_mean
incidence_alpha_vax,0.0,0.0034825524780899286,0.0034825524780899286,2048,trust_repair_legitimacy__shock,vax_willingness_T12_mean
bridge_prob,0.0,0.00244816392660141,0.00244816392660141,2048,trust_repair_legitimacy__shock,vax_willingness_T12_mean
state_update_noise_std,0.0,0.0011814774479717016,0.0011814774479717016,2048,trust_repair_legitimacy__shock,vax_willingness_T12_mean
importation_targeted_local_bump,0.0,0.0010288824560120702,0.0010288824560120702,2048,trust_repair_legitimacy__shock,vax_willingness_T12_mean
importation_outbreak_floor,0.6904983222484589,0.7301217317581177,0.039623409509658813,2048,trust_repair_legitimacy__shock,mask_when_pressure_high_mean
k_social,0.2539447546005249,0.2831515073776245,0.02920675277709961,2048,trust_repair_legitimacy__shock,mask_when_pressure_high_mean
incidence_alpha_vax,0.0024138689041137695,0.01725509576499462,0.014841226860880852,2048,trust_repair_legitimacy__shock,mask_when_pressure_high_mean
importation_targeted_local_bump,0.0005225539207458496,0.0063133020885288715,0.005790748167783022,2048,trust_repair_legitimacy__shock,mask_when_pressure_high_mean
state_update_noise_std,0.0,0.0018409134354442358,0.0018409134354442358,2048,trust_repair_legitimacy__shock,mask_when_pressure_high_mean
incidence_gamma,0.0,0.0009217561455443501,0.0009217561455443501,2048,trust_repair_legitimacy__shock,mask_when_pressure_high_mean
bridge_prob,0.0,0.00043292128248140216,0.00043292128248140216,2048,trust_repair_legitimacy__shock,mask_when_pressure_high_mean
community_incidence_baseline,0.0,0.0,0.0,2048,trust_repair_legitimacy__shock,mask_when_pressure_high_mean
k_social,0.9967885073274374,0.9975246787071228,0.0007361713796854019,2048,trust_repair_legitimacy__shock,social_norms_descriptive_vax_mean
state_update_noise_std,0.0008875727653503418,0.0011840221704915166,0.0002964494051411748,2048,trust_repair_legitimacy__shock,social_norms_descriptive_vax_mean
incidence_gamma,0.0011330246925354004,0.0010424078209325671,0.0,2048,trust_repair_legitimacy__shock,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.0013310909271240234,0.0009731940226629376,0.0,2048,trust_repair_legitimacy__shock,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.0000661015510559082,0.0008669569506309927,0.0008008553995750844,2048,trust_repair_legitimacy__shock,social_norms_descriptive_vax_mean
bridge_prob,0.00025856494903564453,0.00014621435548178852,0.0,2048,trust_repair_legitimacy__shock,social_norms_descriptive_vax_mean
community_incidence_baseline,0.0004118680953979492,0.00013767484051641077,0.0,2048,trust_repair_legitimacy__shock,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.0003782510757446289,0.000028474016289692372,0.0,2048,trust_repair_legitimacy__shock,social_norms_descriptive_vax_mean
k_social,0.7247153222560883,0.7657561898231506,0.04104086756706238,2048,trust_scandal_legitimacy__perturbation,vax_willingness_T12_mean
community_incidence_baseline,0.11121600866317749,0.1442307084798813,0.033014699816703796,2048,trust_scandal_legitimacy__perturbation,vax_willingness_T12_mean
importation_outbreak_floor,0.10275989770889282,0.12298025190830231,0.020220354199409485,2048,trust_scandal_legitimacy__perturbation,vax_willingness_T12_mean
incidence_gamma,0.002788245677947998,0.00802541896700859,0.005237173289060593,2048,trust_scandal_legitimacy__perturbation,vax_willingness_T12_mean
state_update_noise_std,0.0,0.004280942492187023,0.004280942492187023,2048,trust_scandal_legitimacy__perturbation,vax_willingness_T12_mean
incidence_alpha_vax,0.0,0.0031056012958288193,0.0031056012958288193,2048,trust_scandal_legitimacy__perturbation,vax_willingness_T12_mean
importation_targeted_local_bump,0.0,0.0019587669521570206,0.0019587669521570206,2048,trust_scandal_legitimacy__perturbation,vax_willingness_T12_mean
bridge_prob,0.0,0.0008658274891786277,0.0008658274891786277,2048,trust_scandal_legitimacy__perturbation,vax_willingness_T12_mean
importation_outbreak_floor,0.6922509372234344,0.7320693135261536,0.039818376302719116,2048,trust_scandal_legitimacy__perturbation,mask_when_pressure_high_mean
k_social,0.25537192821502686,0.2881998121738434,0.03282788395881653,2048,trust_scandal_legitimacy__perturbation,mask_when_pressure_high_mean
incidence_alpha_vax,0.002200901508331299,0.013750370591878891,0.011549469083547592,2048,trust_scandal_legitimacy__perturbation,mask_when_pressure_high_mean
importation_targeted_local_bump,0.0,0.0035040543880313635,0.0035040543880313635,2048,trust_scandal_legitimacy__perturbation,mask_when_pressure_high_mean
state_update_noise_std,0.0,0.0011472133919596672,0.0011472133919596672,2048,trust_scandal_legitimacy__perturbation,mask_when_pressure_high_mean
bridge_prob,0.0,0.0002237499866168946,0.0002237499866168946,2048,trust_scandal_legitimacy__perturbation,mask_when_pressure_high_mean
incidence_gamma,0.0,0.0001979822845896706,0.0001979822845896706,2048,trust_scandal_legitimacy__perturbation,mask_when_pressure_high_mean
community_incidence_baseline,0.0,0.0,0.0,2048,trust_scandal_legitimacy__perturbation,mask_when_pressure_high_mean
k_social,0.9968219166621566,0.9973278641700745,0.000505947507917881,2048,trust_scandal_legitimacy__perturbation,social_norms_descriptive_vax_mean
state_update_noise_std,0.0009824633598327637,0.0011930873151868582,0.0002106239553540945,2048,trust_scandal_legitimacy__perturbation,social_norms_descriptive_vax_mean
incidence_gamma,0.0009382367134094238,0.0011518759420141578,0.00021363922860473394,2048,trust_scandal_legitimacy__perturbation,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.0,0.00075731665128842,0.00075731665128842,2048,trust_scandal_legitimacy__perturbation,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.0010451078414916992,0.0007401309558190405,0.0,2048,trust_scandal_legitimacy__perturbation,social_norms_descriptive_vax_mean
bridge_prob,0.00011521577835083008,0.00010492032743059099,0.0,2048,trust_scandal_legitimacy__perturbation,social_norms_descriptive_vax_mean
community_incidence_baseline,0.0,0.000045344222598942,0.000045344222598942,2048,trust_scandal_legitimacy__perturbation,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.00006401538848876953,2.4327789560629753e-6,0.0,2048,trust_scandal_legitimacy__perturbation,social_norms_descriptive_vax_mean
k_social,0.8519932776689529,0.8952003121376038,0.04320703446865082,2048,trust_scandal_legitimacy__shock,vax_willingness_T12_mean
importation_outbreak_floor,0.05715388059616089,0.07688912004232407,0.019735239446163177,2048,trust_scandal_legitimacy__shock,vax_willingness_T12_mean
community_incidence_baseline,0.037882089614868164,0.0638786181807518,0.025996528565883636,2048,trust_scandal_legitimacy__shock,vax_willingness_T12_mean
incidence_gamma,0.0,0.0047092558816075325,0.0047092558816075325,2048,trust_scandal_legitimacy__shock,vax_willingness_T12_mean
incidence_alpha_vax,0.0,0.0028548461850732565,0.0028548461850732565,2048,trust_scandal_legitimacy__shock,vax_willingness_T12_mean
bridge_prob,0.0,0.0016175569035112858,0.0016175569035112858,2048,trust_scandal_legitimacy__shock,vax_willingness_T12_mean
importation_targeted_local_bump,0.0,0.0013290203642100096,0.0013290203642100096,2048,trust_scandal_legitimacy__shock,vax_willingness_T12_mean
state_update_noise_std,0.0,0.0012740578968077898,0.0012740578968077898,2048,trust_scandal_legitimacy__shock,vax_willingness_T12_mean
importation_outbreak_floor,0.6787014305591583,0.7175009250640869,0.03879949450492859,2048,trust_scandal_legitimacy__shock,mask_when_pressure_high_mean
k_social,0.2668762803077698,0.29498183727264404,0.028105556964874268,2048,trust_scandal_legitimacy__shock,mask_when_pressure_high_mean
incidence_alpha_vax,0.003177165985107422,0.017646517604589462,0.01446935161948204,2048,trust_scandal_legitimacy__shock,mask_when_pressure_high_mean
importation_targeted_local_bump,0.0007864832878112793,0.0060817403718829155,0.005295257084071636,2048,trust_scandal_legitimacy__shock,mask_when_pressure_high_mean
state_update_noise_std,0.0,0.0018487568013370037,0.0018487568013370037,2048,trust_scandal_legitimacy__shock,mask_when_pressure_high_mean
incidence_gamma,0.0,0.0009214675519615412,0.0009214675519615412,2048,trust_scandal_legitimacy__shock,mask_when_pressure_high_mean
bridge_prob,0.0,0.00042634480632841587,0.00042634480632841587,2048,trust_scandal_legitimacy__shock,mask_when_pressure_high_mean
community_incidence_baseline,0.0,0.0,0.0,2048,trust_scandal_legitimacy__shock,mask_when_pressure_high_mean
k_social,0.9966691110748798,0.9964961409568787,0.0,2048,trust_scandal_legitimacy__shock,social_norms_descriptive_vax_mean
state_update_noise_std,0.0012716054916381836,0.0013751357328146696,0.00010353024117648602,2048,trust_scandal_legitimacy__shock,social_norms_descriptive_vax_mean
incidence_gamma,0.0018310546875,0.0012613919097930193,0.0,2048,trust_scandal_legitimacy__shock,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.0006819367408752441,0.0007592251640744507,0.00007728842319920659,2048,trust_scandal_legitimacy__shock,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.0014178752899169922,0.0005961013375781476,0.0,2048,trust_scandal_legitimacy__shock,social_norms_descriptive_vax_mean
bridge_prob,0.0008976459503173828,0.00009157304157270119,0.0,2048,trust_scandal_legitimacy__shock,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.0007990002632141113,0.000060811526054749265,0.0,2048,trust_scandal_legitimacy__shock,social_norms_descriptive_vax_mean
community_incidence_baseline,0.000662386417388916,0.00003954776911996305,0.0,2048,trust_scandal_legitimacy__shock,social_norms_descriptive_vax_mean
k_social,0.7549493908882141,0.7933245301246643,0.038375139236450195,2048,trust_repair_institutional__perturbation,vax_willingness_T12_mean
community_incidence_baseline,0.08946198225021362,0.1237177923321724,0.03425581008195877,2048,trust_repair_institutional__perturbation,vax_willingness_T12_mean
importation_outbreak_floor,0.09764689207077026,0.11549106985330582,0.017844177782535553,2048,trust_repair_institutional__perturbation,vax_willingness_T12_mean
incidence_gamma,0.0,0.005040845368057489,0.005040845368057489,2048,trust_repair_institutional__perturbation,vax_willingness_T12_mean
state_update_noise_std,0.0,0.0033488578628748655,0.0033488578628748655,2048,trust_repair_institutional__perturbation,vax_willingness_T12_mean
importation_targeted_local_bump,0.0,0.002220005029812455,0.002220005029812455,2048,trust_repair_institutional__perturbation,vax_willingness_T12_mean
incidence_alpha_vax,0.0,0.0013391951797530055,0.0013391951797530055,2048,trust_repair_institutional__perturbation,vax_willingness_T12_mean
bridge_prob,0.0,0.0006496424903161824,0.0006496424903161824,2048,trust_repair_institutional__perturbation,vax_willingness_T12_mean
community_incidence_baseline,0.7491883635520935,0.761892557144165,0.012704193592071533,2048,trust_repair_institutional__perturbation,mask_when_pressure_high_mean
importation_outbreak_floor,0.20383316278457642,0.21660210192203522,0.012768939137458801,2048,trust_repair_institutional__perturbation,mask_when_pressure_high_mean
incidence_gamma,0.013030409812927246,0.021118301898241043,0.008087892085313797,2048,trust_repair_institutional__perturbation,mask_when_pressure_high_mean
k_social,0.009175002574920654,0.014047114178538322,0.004872111603617668,2048,trust_repair_institutional__perturbation,mask_when_pressure_high_mean
state_update_noise_std,0.0,0.0016805040650069714,0.0016805040650069714,2048,trust_repair_institutional__perturbation,mask_when_pressure_high_mean
incidence_alpha_vax,0.0,0.0010869813850149512,0.0010869813850149512,2048,trust_repair_institutional__perturbation,mask_when_pressure_high_mean
bridge_prob,0.0,0.00031910036341287196,0.00031910036341287196,2048,trust_repair_institutional__perturbation,mask_when_pressure_high_mean
importation_targeted_local_bump,0.0,0.00025891902623698115,0.00025891902623698115,2048,trust_repair_institutional__perturbation,mask_when_pressure_high_mean
k_social,0.9971444092225283,0.9973774552345276,0.00023304601199924946,2048,trust_repair_institutional__perturbation,social_norms_descriptive_vax_mean
incidence_gamma,0.0006813406944274902,0.001293970737606287,0.0006126300431787968,2048,trust_repair_institutional__perturbation,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.0,0.0009130063117481768,0.0009130063117481768,2048,trust_repair_institutional__perturbation,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.000770270824432373,0.0007384014897979796,0.0,2048,trust_repair_institutional__perturbation,social_norms_descriptive_vax_mean
state_update_noise_std,0.0,0.0005091194761916995,0.0005091194761916995,2048,trust_repair_institutional__perturbation,social_norms_descriptive_vax_mean
bridge_prob,0.0,0.00007192227349150926,0.00007192227349150926,2048,trust_repair_institutional__perturbation,social_norms_descriptive_vax_mean
community_incidence_baseline,0.0,0.0,0.0,2048,trust_repair_institutional__perturbation,social_norms_descriptive_vax_mean
