model,group,term,estimate,std_err,z_value,abs_z,effect_strength,significance,ci_low,ci_high,block,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
B_COVID_MAIN_vax_willingness_Y,B_COVID,severity_if_infected_avg,0.19133520299392096,0.01820563492374992,10.509669330143337,10.509669330143337,strong,***,0.1556528142276865,0.2270175917601554,stakes_engine,1.210865269725502,1.1684204736976607,1.2548519428005191
B_COVID_MAIN_vax_willingness_Y,B_COVID,vaccine_risk_avg,-0.1586513969717015,0.019522958247482326,-8.126401488983419,8.126401488983419,strong,***,-0.19691569200844605,-0.12038710193495693,vaccine_cost_engine,0.8532937679188142,0.8212598691641622,0.8865771745429638
B_COVID_MAIN_vax_willingness_Y,B_COVID,trust_national_health_institutions_vax_info,0.06163408126219707,0.026750490020899114,2.3040355976299787,2.3040355976299787,moderate,*,0.009204084252436691,0.11406407827195744,trust_engine,1.0635730921915227,1.0092465720897341,1.1208239430445754
B_COVID_MAIN_vax_willingness_Y,B_COVID,trust_who_vax_info,0.009460988671381267,0.023298586483570284,0.4060756509006662,0.4060756509006662,negligible,,-0.036203401727108196,0.05512537906987073,trust_engine,1.0095058853018375,0.9644441039347132,1.0566730910597524
B_COVID_MAIN_vax_willingness_Y,B_COVID,trust_gp_vax_info,0.009623490367684949,0.02249033024434031,0.4278945779423003,0.4278945779423003,negligible,,-0.03445674691163397,0.053703727647003874,trust_engine,1.0096699450502602,0.9661301268945238,1.055171937567672
B_COVID_MAIN_vax_willingness_Y,B_COVID,trust_national_gov_vax_info,0.1510174628333391,0.019781657362858276,7.634216894125721,7.634216894125721,strong,***,0.1122461268476253,0.18978879881905292,trust_engine,1.1630169674759636,1.1187881905711177,1.2089942296821248
B_COVID_MAIN_vax_willingness_Y,B_COVID,trust_local_health_authorities_vax_info,0.08470680189976586,0.0251275933002217,3.371067053167344,3.371067053167344,strong,***,0.03545762401316137,0.13395597978637036,trust_engine,1.088397903714027,1.0360937417030203,1.1433424883562686
B_COVID_MAIN_vax_willingness_Y,B_COVID,group_trust_vax,0.015254187878581788,0.018005718677739358,0.84718572757891,0.84718572757891,negligible,,-0.020036372245547517,0.05054474800271109,trust_engine,1.0153711268488905,0.9801630219282887,1.0518439302169624
B_COVID_MAIN_vax_willingness_Y,B_COVID,family_progressive_norms_nonvax_idx,0.05608474044882862,0.021596403521246605,2.596948162857408,2.596948162857408,moderate,**,0.013756567351591274,0.09841291354606596,norms_engine,1.0576873088363932,1.0138516243099083,1.1034183074224806
B_COVID_MAIN_vax_willingness_Y,B_COVID,friends_progressive_norms_nonvax_idx,0.03688662771675263,0.021939832982179972,1.6812629224075124,1.6812629224075124,weak,,-0.006114654755144125,0.07988791018864938,norms_engine,1.0375753818796996,0.9939040017009455,1.0831656490369275
B_COVID_MAIN_vax_willingness_Y,B_COVID,colleagues_progressive_norms_nonvax_idx,-0.05105967447891868,0.023411117550279043,-2.181001157644868,2.181001157644868,moderate,*,-0.09694462171529919,-0.005174727242538181,norms_engine,0.9502219648398935,0.9076062664198136,0.9948386385936884
B_COVID_MAIN_vax_willingness_Y,B_COVID,social_norms_vax_avg,0.07915861677033867,0.021022242611902064,3.765469661430023,3.765469661430023,strong,***,0.037955778376747386,0.12036145516392996,norms_engine,1.0823759914391886,1.0386852995128881,1.127904464801208
B_COVID_MAIN_vax_willingness_Y,B_COVID,moral_progressive_orientation,-0.1493832122070356,0.02060569543988076,-7.249607888405247,7.249607888405247,strong,***,-0.1897696331456031,-0.10899679126846809,moral_engine,0.8612390143502437,0.8271496598623493,0.8967332948700181
B_COVID_MAIN_vax_willingness_Y,B_COVID,mfq_agreement_binding_idx,-0.16850594277494313,0.01720498174842102,-9.794020431925636,9.794020431925636,strong,***,-0.2022270873565173,-0.13478479819336897,moral_engine,0.8449262421975156,0.8169093970816802,0.8739039571638493
B_COVID_MAIN_vax_willingness_Y,B_COVID,mfq_relevance_binding_idx,0.000215053114507679,0.018371083736598907,0.011706065771136287,0.011706065771136287,negligible,,-0.035791609366195694,0.036221715595211056,moral_engine,1.0002150762400863,0.9648413364322814,1.0368857147407038
B_COVID_MAIN_vax_willingness_Y,B_COVID,trust_traditional,0.0443674987671112,0.021209517258361323,2.0918674492518408,2.0918674492518408,moderate,*,0.0027976088112422956,0.0859373887229801,information_environment_engine,1.0453664551893889,1.0028015257706275,1.0897380962752787
B_COVID_MAIN_vax_willingness_Y,B_COVID,trust_onlineinfo,-0.006962974337120957,0.02182954834080927,-0.3189701513019405,0.3189701513019405,negligible,,-0.049748102883883226,0.035822154209641306,information_environment_engine,0.9930612110021667,0.9514690666308248,1.0364714980058616
B_COVID_MAIN_vax_willingness_Y,B_COVID,trust_social,0.10890714656193556,0.021833326170157052,4.988115219512253,4.988115219512253,strong,***,0.06611461360571191,0.15169967951815921,information_environment_engine,1.1150588084904014,1.0683491574982955,1.16381066776291
